Area,Bedrooms,Age,Price
3774,2,38,571900
1460,1,1,226661
1894,4,2,323473
1730,4,48,284533
1695,4,36,281319
3692,5,48,585356
2238,1,16,344252
2769,5,48,451649
1066,5,1,211544
1838,1,1,284893
930,1,27,145892
2082,1,22,315611
2735,1,36,408437
3771,4,31,601069
3519,3,32,549265
730,3,0,135718
2285,1,18,346846
3980,3,1,626435
1369,3,43,222005
2991,1,25,455296
2115,3,31,341000
3453,5,5,564896
3033,2,31,461695
1815,2,3,293243
1555,1,10,236943
2924,4,16,472236
1784,1,37,270254
1059,4,23,192845
3985,2,4,614904
621,1,33,88475
2900,5,5,483393
1347,3,21,227772
3504,4,10,566751
1074,3,47,177600
1682,3,15,280796
3158,1,32,478107
2647,3,8,427333
3347,5,5,550192
1575,3,15,264429
2406,1,28,365708
789,5,2,170089
3605,2,19,559485
3334,3,35,516805
3605,1,18,541419
1162,2,25,185244
2499,2,2,390310
1867,4,18,311977
3479,5,19,564570
2128,3,31,335201
3802,1,6,574106
1246,4,40,213070
2668,5,32,436299
3488,4,39,551588
2814,5,38,465031
1897,5,17,324640
3035,3,39,469530
1200,5,0,227975
2963,4,10,482552
2661,5,27,437234
841,3,24,147277
2641,3,49,409844
3424,4,22,550319
3212,2,30,489616
3545,2,29,543904
1963,5,41,333859
2739,1,34,406219
1990,5,6,347142
3603,4,15,572845
2078,4,25,341933
3156,4,47,498163
1375,4,48,234305
634,4,1,133814
2853,3,0,454636
3752,2,47,566709
2555,4,11,422756
2185,1,4,331704
3673,1,36,546559
1621,1,31,239634
3213,1,8,492646
1729,3,40,279910
2100,1,34,317143
1302,4,18,232106
3049,5,47,493846
3377,1,15,512851
2179,3,2,354056
761,3,19,133987
801,1,23,124236
2581,5,32,424391
1595,1,23,246066
2917,3,10,466521
1415,2,48,218475
3942,4,7,627150
1055,3,35,180742
1875,1,37,279930
1616,4,39,268068
2943,1,19,447405
3367,1,34,508023
937,2,47,145945
1478,4,24,258663
1676,4,34,282202
