CustomerID,Gender,Age,AnnualIncome_k,SpendingScore
1,Male,31,71,35
2,Female,46,52,58
3,Female,54,47,61
4,Male,41,86,13
5,Female,18,24,80
6,Female,49,44,59
7,Female,50,28,23
8,Female,44,79,36
9,Female,50,57,40
10,Female,39,89,74
11,Female,22,93,89
12,Female,48,15,26
13,Female,39,93,21
14,Male,30,24,79
15,Female,43,50,52
16,Female,45,52,44
17,Female,30,94,76
18,Male,38,35,10
19,Female,24,95,20
20,Female,21,85,65
21,Male,45,67,45
22,Female,18,24,80
23,Male,39,72,22
24,Male,43,89,15
25,Female,38,18,73
26,Male,23,86,85
27,Female,41,77,84
28,Female,36,63,46
29,Female,25,86,70
30,Male,42,85,20
31,Male,50,60,49
32,Female,46,48,49
33,Male,40,55,53
34,Female,37,45,48
35,Female,33,89,19
36,Male,29,100,4
37,Male,25,22,78
38,Female,26,80,82
39,Male,56,44,48
40,Female,42,61,55
41,Female,44,46,50
42,Female,43,43,44
43,Male,40,59,54
44,Female,47,53,58
45,Male,27,75,84
46,Male,27,98,70
47,Female,45,56,36
48,Male,38,86,26
49,Female,42,86,18
50,Male,26,32,81
51,Male,29,90,16
52,Male,53,57,40
53,Male,43,83,11
54,Female,36,89,17
55,Male,42,89,15
56,Female,31,93,24
57,Male,22,53,61
58,Male,18,24,81
59,Male,18,25,68
60,Female,36,94,10
61,Female,41,36,23
62,Male,18,24,62
63,Male,44,28,33
64,Female,48,34,14
65,Male,26,84,86
66,Female,45,57,51
67,Female,45,39,53
68,Male,44,89,16
69,Female,46,59,45
70,Female,38,92,68
71,Female,36,87,17
72,Female,32,97,80
73,Female,56,64,38
74,Female,39,83,27
75,Male,18,15,71
76,Male,42,49,51
77,Male,56,54,55
78,Male,51,52,44
79,Female,42,95,18
80,Female,40,84,11
81,Female,47,57,58
82,Female,47,93,23
83,Male,27,55,57
84,Female,25,36,78
85,Female,41,62,44
86,Male,42,76,82
87,Female,50,25,28
88,Female,26,93,81
89,Male,51,49,47
90,Male,33,82,69
91,Female,44,67,47
92,Male,18,74,89
93,Female,28,85,82
94,Female,34,15,14
95,Male,38,46,41
96,Female,33,78,72
97,Female,37,87,74
98,Male,32,20,78
99,Male,29,90,98
100,Female,32,54,49
101,Male,43,49,43
102,Female,44,78,23
103,Male,49,21,29
104,Female,30,47,56
105,Female,18,19,76
106,Female,43,63,35
107,Male,35,40,77
108,Female,45,64,63
109,Male,44,47,46
110,Male,43,60,57
111,Male,35,84,10
112,Female,41,46,50
113,Female,41,100,20
114,Male,28,94,85
115,Male,33,83,2
116,Female,55,53,48
117,Female,43,59,41
118,Female,35,81,94
119,Female,35,93,26
120,Female,44,23,18
121,Female,56,41,55
122,Female,18,72,73
123,Female,38,104,23
124,Female,32,81,75
125,Female,45,48,50
126,Male,45,94,18
127,Female,42,15,19
128,Female,57,57,43
129,Male,23,35,74
130,Female,37,90,89
131,Female,45,15,23
132,Male,51,59,37
133,Male,30,92,71
134,Male,43,82,16
135,Female,31,97,86
136,Female,18,25,75
137,Female,51,50,41
138,Female,49,64,41
139,Female,50,60,53
140,Female,38,97,22
141,Male,45,58,47
142,Female,41,95,74
143,Female,44,55,46
144,Male,49,46,41
145,Female,43,34,21
146,Female,38,50,40
147,Female,49,71,47
148,Male,48,85,11
149,Male,47,57,38
150,Female,37,70,42
151,Male,32,91,69
152,Female,46,73,50
153,Female,45,54,50
154,Male,18,22,77
155,Male,24,84,97
156,Male,53,42,62
157,Male,41,64,59
158,Female,52,52,50
159,Female,32,85,85
160,Male,29,19,80
161,Female,18,17,71
162,Female,43,61,53
163,Male,42,77,17
164,Male,49,40,12
165,Male,51,89,14
166,Female,45,55,43
167,Female,31,16,68
168,Female,36,51,46
169,Male,31,88,75
170,Male,41,53,55
171,Female,31,91,77
172,Male,28,82,74
173,Female,28,89,89
174,Female,45,55,36
175,Female,33,87,8
176,Female,37,54,53
177,Female,45,51,44
178,Female,42,45,55
179,Male,42,57,42
180,Female,47,30,18
181,Male,39,99,16
182,Male,48,53,50
183,Female,35,76,9
184,Female,49,98,18
185,Male,49,29,20
186,Female,34,57,40
187,Female,39,41,65
188,Female,23,25,76
189,Male,40,78,21
190,Male,48,16,25
191,Female,40,82,81
192,Female,47,58,44
193,Female,20,86,89
194,Female,53,65,70
195,Male,27,17,84
196,Male,53,67,42
197,Female,30,82,82
198,Female,46,53,42
199,Female,44,82,82
200,Male,47,28,23
